st_teff,st_logg,st_rad,st_dist,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,Rp_Rs
5527.0,4.488,0.866,0,99.6415962,4.448,952.5,2.64,3.97,360.0,0.028
5560.0,4.246,1.21,0,4.708326451,3.16114,7912.7,10.6,431.02,1162.0,0.061
4187.0,4.656,0.592,0,16.37198661,3.8449,4147.6,540.37,8.71,438.0,9.303
5198.0,4.589,0.801,0,5.392026903,2.9804,1151.4,2.68,123.33,850.0,0.314
5569.0,4.566,0.829,0,2.494170338,1.1221,863.7,2.42,480.19,1194.0,0.095
6123.0,4.413,1.107,0,6.491682808,4.301,7163.3,9.66,301.54,1062.0,0.535
5525.0,4.603,0.753,0,3.044770796,10.0134,1695.0,24.54,317.36,1076.0,1.252
6033.0,4.46,1.046,0,3.855603916,3.2179,16653.0,13.61,508.65,1212.0,0.348
5936.0,4.501,0.965,0,3.855599139,3.183,1030.9,3.57,425.74,1158.0,0.864
5510.0,4.539,0.879,0,38.47876629,5.04169,23530.0,13.26,13.01,484.0,0.003
6140.0,4.354,1.096,0,37.601661282,8.30604,59130.0,27.22,31.86,606.0,0.408
5609.0,4.481,0.944,0,3.314947362,1.8007,1398.2,3.94,421.03,1155.0,0.799
5931.0,4.479,0.866,0,6.71969089,3.0231,969.7,4.37,194.18,952.0,0.985
5231.0,4.455,0.9,0,39.6431552,6.5292,15664.0,10.98,11.74,472.0,0.062
6257.0,4.41,1.147,0,51.42598578,16.9422,66068.0,29.66,21.4,549.0,0.203
5481.0,4.629,0.708,0,21.80451611,3.4097,1144.9,2.6,20.48,543.0,0.751
5196.0,4.593,0.775,0,10.28194593,3.4366,1110.7,2.53,50.6,680.0,0.168
5196.0,4.593,0.775,0,18.11993039,4.2309,1506.9,2.95,23.77,563.0,0.206
5196.0,4.593,0.775,0,3.78402867,1.9012,426.1,1.7,191.78,949.0,0.691
5431.0,4.457,0.884,0,5.15448142,3.228,697.5,2.94,204.1,964.0,0.933
5855.0,3.999,1.796,0,33.80364366,11.4813,13494.0,20.7,72.71,745.0,0.023
